Region,Rafflesia,Coneflower,Purple loosestrife,Norway maple,Common ivy
Vermont,0,100,21,23,0
Wisconsin,5,99,20,11,12
South Dakota,0,93,0,0,0
Maine,0,92,23,15,13
Iowa,4,92,9,11,12
Montana,0,90,0,9,11
Nebraska,4,86,9,7,13
Minnesota,4,84,12,8,11
North Dakota,0,84,15,0,12
New Hampshire,0,81,19,13,13
Indiana,6,78,13,5,17
Idaho,0,75,0,13,12
Michigan,4,75,20,8,13
Wyoming,0,75,0,0,0
Ohio,5,74,11,6,15
Missouri,3,72,5,3,14
Delaware,0,70,0,0,16
Tennessee,4,70,3,2,18
Connecticut,4,70,8,8,14
North Carolina,4,69,3,2,20
Pennsylvania,4,69,8,8,15
Illinois,3,69,8,6,11
Kansas,11,68,5,4,13
Colorado,4,68,6,6,12
Arkansas,4,67,0,0,17
New Mexico,0,66,0,0,14
Maryland,5,66,6,4,17
Utah,3,65,0,11,12
Oklahoma,4,65,0,0,17
West Virginia,0,64,0,0,16
Kentucky,4,61,5,0,15
Washington,4,60,6,5,20
Georgia,4,60,2,0,20
District of Columbia,2,60,4,3,14
Massachusetts,4,60,10,9,12
New Jersey,5,59,5,4,13
South Carolina,5,58,3,0,17
New York,4,57,7,4,11
Alabama,3,57,1,0,15
Mississippi,4,55,0,0,10
Rhode Island,0,54,0,12,14
Florida,4,54,1,0,9
Virginia,11,53,4,3,16
Oregon,18,52,5,5,21
Texas,5,49,2,1,15
Louisiana,3,48,0,0,14
Alaska,0,48,0,0,0
Nevada,4,48,4,0,8
Arizona,4,47,2,0,8
California,5,46,1,1,10
Hawaii,0,44,0,0,8
